label,x,y,z
minus32_minus32_61,-0.15,-0.15,0.2882812499999
minus32_minus32_62,-0.15,-0.15,0.29296875
minus32_minus32_63,-0.15,-0.15,0.2976562499999
minus32_minus31_0,-0.15,-0.14531249999999998,0.00234375
minus32_minus31_1,-0.15,-0.14531249999999998,0.00703125
minus32_minus31_2,-0.15,-0.14531249999999998,0.01171875
minus32_minus31_3,-0.15,-0.14531249999999998,0.01640625
minus32_minus31_4,-0.15,-0.14531249999999998,0.02109375
minus32_minus31_5,-0.15,-0.14531249999999998,0.02578125
minus32_minus31_6,-0.15,-0.14531249999999998,0.03046875
minus32_minus31_7,-0.15,-0.14531249999999998,0.03515625
minus32_minus31_8,-0.15,-0.14531249999999998,0.039843750000000004
minus32_minus31_9,-0.15,-0.14531249999999998,0.04453125
minus32_minus31_10,-0.15,-0.14531249999999998,0.04921875
minus32_minus31_11,-0.15,-0.14531249999999998,0.05390624999999999
minus32_minus31_12,-0.15,-0.14531249999999998,0.05859375
minus32_minus31_13,-0.15,-0.14531249999999998,0.06328125
minus32_minus31_14,-0.15,-0.14531249999999998,0.06796875
minus32_minus31_15,-0.15,-0.14531249999999998,0.07265624999999999
minus32_minus31_16,-0.15,-0.14531249999999998,0.07734374999999999
minus32_minus31_17,-0.15,-0.14531249999999998,0.08203124999999999
minus32_minus31_18,-0.15,-0.14531249999999998,0.08671874999999998
minus32_minus31_19,-0.15,-0.14531249999999998,0.09140625000000001
minus32_minus31_20,-0.15,-0.14531249999999998,0.09609375
minus32_minus31_21,-0.15,-0.14531249999999998,0.1007812499999
minus32_minus31_22,-0.15,-0.14531249999999998,0.1054687499999
minus32_minus31_23,-0.15,-0.14531249999999998,0.1101562499999
minus32_minus31_24,-0.15,-0.14531249999999998,0.11484375
minus32_minus31_25,-0.15,-0.14531249999999998,0.11953124999999999
minus32_minus31_26,-0.15,-0.14531249999999998,0.12421875
minus32_minus31_27,-0.15,-0.14531249999999998,0.12890625
minus32_minus31_28,-0.15,-0.14531249999999998,0.13359375
minus32_minus31_29,-0.15,-0.14531249999999998,0.13828125
minus32_minus31_30,-0.15,-0.14531249999999998,0.14296875
minus32_minus31_31,-0.15,-0.14531249999999998,0.14765625
minus32_minus31_32,-0.15,-0.14531249999999998,0.15234375
minus32_minus31_33,-0.15,-0.14531249999999998,0.15703125
minus32_minus31_34,-0.15,-0.14531249999999998,0.16171875
minus32_minus31_35,-0.15,-0.14531249999999998,0.16640625
minus32_minus31_36,-0.15,-0.14531249999999998,0.17109375
minus32_minus31_37,-0.15,-0.14531249999999998,0.17578125
minus32_minus31_38,-0.15,-0.14531249999999998,0.18046874999999998
minus32_minus31_39,-0.15,-0.14531249999999998,0.18515625
minus32_minus31_40,-0.15,-0.14531249999999998,0.18984374999999998
minus32_minus31_41,-0.15,-0.14531249999999998,0.19453125
minus32_minus31_42,-0.15,-0.14531249999999998,0.19921875
minus32_minus31_43,-0.15,-0.14531249999999998,0.2039062499999
minus32_minus31_44,-0.15,-0.14531249999999998,0.2085937499999
minus32_minus31_45,-0.15,-0.14531249999999998,0.2132812499999
minus32_minus31_46,-0.15,-0.14531249999999998,0.21796874999989999
minus32_minus31_47,-0.15,-0.14531249999999998,0.2226562499999
minus32_minus31_48,-0.15,-0.14531249999999998,0.22734375
minus32_minus31_49,-0.15,-0.14531249999999998,0.23203125
minus32_minus31_50,-0.15,-0.14531249999999998,0.23671875
minus32_minus31_51,-0.15,-0.14531249999999998,0.24140625000000002
minus32_minus31_52,-0.15,-0.14531249999999998,0.24609375
minus32_minus31_53,-0.15,-0.14531249999999998,0.25078124999999996
minus32_minus31_54,-0.15,-0.14531249999999998,0.25546875
minus32_minus31_55,-0.15,-0.14531249999999998,0.2601562499999
minus32_minus31_56,-0.15,-0.14531249999999998,0.26484375
minus32_minus31_57,-0.15,-0.14531249999999998,0.2695312499999
minus32_minus31_58,-0.15,-0.14531249999999998,0.27421875
minus32_minus31_59,-0.15,-0.14531249999999998,0.2789062499999
minus32_minus31_60,-0.15,-0.14531249999999998,0.28359375
minus32_minus31_61,-0.15,-0.14531249999999998,0.2882812499999
minus32_minus31_62,-0.15,-0.14531249999999998,0.29296875
minus32_minus31_63,-0.15,-0.14531249999999998,0.2976562499999
minus32_minus30_0,-0.15,-0.140625,0.00234375
minus32_minus30_1,-0.15,-0.140625,0.00703125
